Ax,Ay,Az,Vector
15760,1380,14508,21465.41553
16716,-2260,-2684,17080.28431
17440,-72,1080,17473.55671
19884,-1844,4872,20555.05232
16760,-100,684,16774.24979
18432,-1344,1100,18513.64254
15768,280,8480,17905.82654
18128,-1456,2536,18362.34233
15400,-1016,-4772,16154.38764
19184,-1696,-420,19263.4024
15756,-1068,7684,17562.34654
15224,-1604,5928,16415.9732
21148,-2216,-1912,21349.57386
18504,-636,6048,19477.70048
16444,-1396,8728,18669.01004
15744,100,10328,18829.52788
-32768,11688,-31476,46915.77287
32767,-12712,31644,47292.85326
-22840,13764,-21892,34501.78198
32767,19136,32767,50135.20793
-16216,-12900,-22628,30682.16159
-24516,-956,-32768,40935.19288
18696,-220,-76,18697.44881
17492,-4412,12824,22133.47655
11724,-2332,-25172,27866.10816
17984,568,10028,20598.72967
13424,-16,-320,13427.82306
14148,-1544,620,14245.49894
13840,3404,6364,15608.75754
17860,416,3356,18177.33182
19624,1820,5212,20385.74796
19300,540,1292,19350.73291
18516,-32,6860,19745.95857
10804,268,-13504,17296.13413
10956,-284,-9072,14227.28983
16600,-572,-2800,16844.20328
18448,-3312,-3396,19048.1197
19476,-1756,364,19558.38971
16136,-1168,-1212,16223.55276
13624,-764,-4400,14337.26166
19848,-876,3360,20149.44366
14348,-152,5860,15499.28411
12644,520,2112,12829.71863
18852,-716,1428,18919.55983
18508,-620,3520,18849.9566
18400,-24,6856,19635.81707
17820,-1152,7592,19404.07091
13304,512,11156,17369.94231
32767,-5560,-7288,34025.06184
1380,8844,444,8962.023879
16524,12888,23812,31719.93796
32767,-19888,-7196,38999.88781
32767,-5304,32767,46642.09466
-23956,-10492,-32768,41925.09778
32767,11020,32767,47631.84836
32767,5340,32767,46646.20218
15036,7844,-32768,36896.49653
20584,-1968,10512,23196.47008
16000,144,3288,16334.98332
15112,-876,2548,15350.31674
15708,1404,3820,16226.67187
14268,132,1236,14322.04399
19216,20,8112,20858.08237
18060,852,6480,19206.24648
14360,3096,5788,15789.10257
15792,-260,-240,15795.96354
20428,-1724,8516,22199.04538
17392,-4744,1712,18108.51026
15636,1916,4100,16277.7625
15456,-788,24,15476.09305
16712,-2788,476,16949.64495
17344,-960,4144,17858.01422
14960,2348,-2692,15380.55812
17260,2276,684,17422.84799
15580,-1312,-1080,15672.40071
17764,1980,12,17874.01018
16604,1764,-1684,16782.14432
17936,1448,196,17995.42208
16380,412,648,16397.98915
15612,1708,-7112,17240.42784
16692,3180,-1476,17056.19653
17596,1000,2016,17739.31994
16396,932,1128,16461.16108
16184,1148,-356,16228.57036
18584,1244,752,18640.76436
16784,312,2552,16979.77338
15884,-480,2252,16050.02679
