7284,7274,6707
7320,7264,6629
7088,7065,6383
6926,6999,6426
6933,6979,6386
6925,7034,6555
7155,7237,6710
7285,7326,6801
7508,7603,6805
7136,6784,5616
5500,5333,4686
5239,5399,5319
6114,6123,5815
6580,6547,6102
7031,7167,6608
7310,7315,6471
6922,7192,6567
7091,7253,6554
6836,6873,6239
6510,6460,5915
6397,6381,6290
7105,6927,6381
7117,6861,6113
6821,6678,5640
5825,5754,4990
5889,6339,6084
6862,7348,6192
6748,7091,6164
6224,6494,5138
5011,5156,4124
4400,4955,4015
4298,4900,3893
4092,4822,3999
4246,5062,4210
4249,4650,3485
3118,3592,2080
1159,904,-1295
-3453,-3898,-5645
-6942,-6032,-5975
-6261,-4754,-4583
-5144,-4404,-4547
-5423,-4636,-4892
-5616,-4989,-5248
-6088,-5271,-5365
-5977,-5083,-5113
-5819,-5007,-5109
-5834,-5026,-5109
-5818,-4999,-5063
-5792,-5013,-5123
-5872,-5096,-5184
-5907,-5100,-5170
-5891,-5087,-5157
-5883,-5083,-5153
-5881,-5080,-5147
-5880,-5092,-5165
-5912,-5136,-5214
-5957,-5172,-5226
-5939,-5128,-5172
-5897,-5087,-5141
-5874,-5071,-5151
-6093,-5862,-6479
-7901,-8306,-9373
-10371,-9858,-10099
-9882,-7861,-7144
-6961,-5069,-5083
-6080,-5396,-6374
-7923,-7061,-7352
-8015,-6228,-4674
-3858,-1357,855
2928,4058,4592
5465,5119,3582
4064,4267,3010
3896,4933,4127
4693,5669,5020
5242,6066,4991
4431,3775,2383
1420,1659,1971
3858,5043,6082
7572,7660,6577
7099,6798,5283
5464,5619,4730
5182,6054,5741
6427,6908,5994
5981,6136,4361
3375,3178,2144
1895,3098,4148
5436,6048,6329
7070,6842,6322
7277,7211,6287
6863,6717,5597
6089,6243,5394
5934,6385,5671
6185,6597,5851
6080,6183,5229
5304,5527,5016
5684,6121,6070
6717,6863,6470
7236,6873,6409
7063,6988,6395
7415,7320,6659
7268,7060,6087
6814,7112,5969
6419,6700,5265
4888,5390,4691
4711,5563,5614
6253,6727,6475
6921,7151,6326
6771,7059,6349
6760,7184,6449
6847,6947,6043
5849,5943,5480
6360,6964,7373
8161,7867,6689
6932,6461,5756
6638,7048,6540
7066,7293,7194
8400,9180,9558
10471,10171,8934
8806,8140,6770
6992,7050,6273
6564,7022,6466
7071,7520,7054
7541,7988,7058
7252,7349,6276
6267,6770,6035
6386,6925,6206
6330,6823,6016
6215,6803,6138
6218,6694,6201
6491,6976,6460
6912,7117,6305
6496,6771,5890
5860,5995,5346
5613,6100,6421
7498,8184,8163
8861,8758,7849
8003,7818,6720
6862,7039,6304
6648,7123,6578
7111,7157,6564
6968,7421,6158
7028,7258,6022
6206,7260,6173
6463,7286,5869
5125,5074,3776
3445,4624,4415
5184,6464,6237
6087,6895,6174
5862,6641,6141
5860,6396,6126
5850,6714,6764
7304,8115,8243
8713,9332,8924
9250,9502,8680
8656,8637,7460
7322,7392,6091
5800,5982,4799
4084,4400,4434
4972,6266,7677
9235,9605,9394
9769,9127,7763
7941,7972,6992
7317,7735,7060
7331,7800,7171
7342,7780,7139
7299,7760,7248
7497,7995,7421
7634,8004,6901
6573,6526,5217
4763,5388,4827
5120,6122,6470
7005,8153,8544
9252,9460,9665
10286,10361,10005
10756,10195,9051
9079,8698,7421
7677,7720,6794
6911,7114,6363
6646,7149,6679
7121,7584,6912
7153,7496,6677
6833,7284,6564
6790,7323,6691
6806,7176,6194
6122,6389,5519
5561,6160,5503
5551,6025,5635
5993,6723,7029
8173,8802,8655
9275,8985,7617
7656,7417,6168
6486,6851,6046
6422,7012,6398
6792,7498,7039
7377,7913,7384
7557,7906,7155
7320,7636,6719
6723,7039,5884
5721,6168,5432
5327,6137,5933
6382,6931,7229
7818,8025,7503
8140,7908,7004
7550,7658,6663
6999,7303,6335
6666,7071,6366
6610,7059,6359
6620,7218,6693
7112,7700,7113
7217,7561,6658
6684,7018,6290
6447,6960,5979
5968,6180,4985
4763,5408,4239
4097,4422,3622
3214,3961,3685
4515,5252,5704
6750,7573,7431
8441,8652,7757
8030,7962,6723
6807,6943,5947
6130,6615,5962
6379,7041,6542
6882,7401,6677
